date,region_name,area_code,average_price,index,1m%_change,12m%_change,sales_volume
2013-01-01,Knowsley,E08000011,105390.6729,97.95891582,0.304925203,-1.85765643,67.0
2013-01-01,Liverpool,E08000012,105140.5433,93.98655164,-0.314031121,-2.003399555,292.0
2013-01-01,Merseyside,E11000002,118307.79,95.81443946,-0.183907597,-1.070033128,891.0
2013-01-01,Sefton,E08000014,135940.7468,98.60305575,0.431995955,-0.460236094,176.0
2013-01-01,St Helens,E08000013,107387.2971,96.95153447,0.002607658,0.660812142,103.0
2013-01-01,Stockport,E08000007,158771.029,89.22433211,-1.307949847,1.548865044,197.0
2013-01-01,Warrington,E06000007,146438.2804,93.25552363,-0.882040583,-0.713210961,140.0
2013-01-01,Wigan,E08000010,107170.8762,93.60860171,-0.079469422,1.599390989,152.0
2013-01-01,Wirral,E08000015,131463.9081,94.6550495,-0.794857312,-0.907626788,253.0
2013-01-02,Knowsley,E08000011,106340.2471,98.84152957,0.901004003,-1.556607657,70.0
2013-01-02,Liverpool,E08000012,105708.0553,94.49385825,0.539765104,-0.780010571,285.0
2013-01-02,Merseyside,E11000002,117748.4516,95.36144565,-0.472782402,-1.005039933,898.0
2013-01-02,Sefton,E08000014,135832.0448,98.52420997,-0.079962819,-1.031407771,199.0
2013-01-02,St Helens,E08000013,104703.7955,94.5288122,-2.498900381,0.923260699,118.0
2013-01-02,Stockport,E08000007,159515.4844,89.64269263,0.468886135,-0.085275568,232.0
2013-01-02,Warrington,E06000007,146057.0814,93.01276671,-0.260313715,-0.650460302,168.0
2013-01-02,Wigan,E08000010,106525.5219,93.04491574,-0.602173267,1.982292872,213.0
2013-01-02,Wirral,E08000015,129545.8148,93.27400717,-1.459026582,-1.911211786,226.0
2013-01-03,Knowsley,E08000011,105485.1657,98.04674535,-0.804099474,-1.81398674,75.0
2013-01-03,Liverpool,E08000012,103704.9459,92.70325171,-1.894944889,-2.890875683,328.0
2013-01-03,Merseyside,E11000002,116961.1293,94.72381355,-0.668647688,-1.322281199,1057.0
2013-01-03,Sefton,E08000014,135796.5974,98.49849859,-0.026096512,-0.320170669,232.0
2013-01-03,St Helens,E08000013,106609.3592,96.24919565,1.819956699,1.66339493,136.0
2013-01-03,Stockport,E08000007,158147.7821,88.87408688,-0.85741038,-0.037180176,258.0
2013-01-03,Warrington,E06000007,143875.8817,91.62372471,-1.493388535,-1.381157979,205.0
2013-01-03,Wigan,E08000010,106994.3356,93.45440196,0.440095218,2.88527873,261.0
2013-01-03,Wirral,E08000015,128246.4316,92.33844106,-1.003029814,-1.755699356,286.0
2013-01-04,Knowsley,E08000011,106350.9031,98.85143411,0.820719497,-2.114424548,67.0
2013-01-04,Liverpool,E08000012,104937.1683,93.80475201,1.188200285,-2.531155815,297.0
2013-01-04,Merseyside,E11000002,116660.9127,94.48067586,-0.256680644,-2.165691167,894.0
2013-01-04,Sefton,E08000014,134785.5588,97.76515341,-0.744524223,-0.90518316,180.0
2013-01-04,St Helens,E08000013,104259.4292,94.1276289,-2.204243611,-0.772094593,111.0
2013-01-04,Stockport,E08000007,158634.8526,89.1478052,0.307984392,0.243314519,277.0
2013-01-04,Warrington,E06000007,144867.2685,92.25506435,0.689056945,-0.206708142,173.0
2013-01-04,Wigan,E08000010,107475.2378,93.87444689,0.44946511,1.734613212,269.0
2013-01-04,Wirral,E08000015,127008.3777,91.44703246,-0.965371078,-3.684606771,239.0
2013-01-05,Knowsley,E08000011,103446.2917,96.1516451,-2.73115816,-2.208347697,97.0
2013-01-05,Liverpool,E08000012,105835.2769,94.60758337,0.855853609,-0.591496931,390.0
2013-01-05,Merseyside,E11000002,116635.6259,94.46019675,-0.021675444,-2.014701091,1215.0
2013-01-05,Sefton,E08000014,131782.629,95.58701283,-2.227931428,-4.326648924,248.0
