area_code,area_name,year,gross_median_weekly_pay
E06000007,Warrington,2008,410.2
E06000007,Warrington,2009,424.2
E06000007,Warrington,2010,428.5
E06000007,Warrington,2011,402.7
E06000007,Warrington,2012,411.8
E06000007,Warrington,2013,417.9
E06000007,Warrington,2014,439.0
E06000007,Warrington,2015,454.7
E06000007,Warrington,2016,460.0
E06000007,Warrington,2017,478.9
E06000007,Warrington,2018,468.8
E06000007,Warrington,2019,489.3
E06000007,Warrington,2020,463.5
E06000007,Warrington,2021,506.3
E06000007,Warrington,2022,536.6
E06000007,Warrington,2023,586.7
E08000007,Stockport,2008,384.3
E08000007,Stockport,2009,386.6
E08000007,Stockport,2010,415.5
E08000007,Stockport,2011,409.7
E08000007,Stockport,2012,413.4
E08000007,Stockport,2013,427.0
E08000007,Stockport,2014,418.1
E08000007,Stockport,2015,425.6
E08000007,Stockport,2016,449.0
E08000007,Stockport,2017,474.9
E08000007,Stockport,2018,479.2
E08000007,Stockport,2019,510.6
E08000007,Stockport,2020,492.6
E08000007,Stockport,2021,513.0
E08000007,Stockport,2022,552.1
E08000007,Stockport,2023,589.0
E08000010,Wigan,2008,375.9
E08000010,Wigan,2009,371.5
E08000010,Wigan,2010,385.1
E08000010,Wigan,2011,372.4
E08000010,Wigan,2012,383.3
E08000010,Wigan,2013,400.6
E08000010,Wigan,2014,400.0
E08000010,Wigan,2015,416.2
E08000010,Wigan,2016,413.8
E08000010,Wigan,2017,421.6
E08000010,Wigan,2018,428.7
E08000010,Wigan,2019,452.2
E08000010,Wigan,2020,456.9
E08000010,Wigan,2021,484.7
E08000010,Wigan,2022,498.4
E08000010,Wigan,2023,545.9
E08000011,Knowsley,2008,344.5
E08000011,Knowsley,2009,366.9
E08000011,Knowsley,2010,386.0
E08000011,Knowsley,2011,377.7
E08000011,Knowsley,2012,378.0
E08000011,Knowsley,2013,380.2
E08000011,Knowsley,2014,376.2
E08000011,Knowsley,2015,402.9
E08000011,Knowsley,2016,422.2
E08000011,Knowsley,2017,428.6
E08000011,Knowsley,2018,434.2
E08000011,Knowsley,2019,429.2
E08000011,Knowsley,2020,488.6
E08000011,Knowsley,2021,499.2
E08000011,Knowsley,2022,526.8
E08000011,Knowsley,2023,579.9
E08000012,Liverpool,2008,356.1
E08000012,Liverpool,2009,365.8
E08000012,Liverpool,2010,389.6
E08000012,Liverpool,2011,365.4
E08000012,Liverpool,2012,371.4
E08000012,Liverpool,2013,400.0
E08000012,Liverpool,2014,409.8
E08000012,Liverpool,2015,392.9
E08000012,Liverpool,2016,416.9
E08000012,Liverpool,2017,419.5
E08000012,Liverpool,2018,436.0
E08000012,Liverpool,2019,452.0
E08000012,Liverpool,2020,467.9
E08000012,Liverpool,2021,489.9
E08000012,Liverpool,2022,509.3
E08000012,Liverpool,2023,548.1
E08000013,St. Helens,2008,362.0
E08000013,St. Helens,2009,384.0
E08000013,St. Helens,2010,381.4
E08000013,St. Helens,2011,387.2
E08000013,St. Helens,2012,387.3
E08000013,St. Helens,2013,373.5
E08000013,St. Helens,2014,387.3
E08000013,St. Helens,2015,405.4
E08000013,St. Helens,2016,431.6
E08000013,St. Helens,2017,420.4
E08000013,St. Helens,2018,442.1
E08000013,St. Helens,2019,478.7
E08000013,St. Helens,2020,453.5
E08000013,St. Helens,2021,493.3
E08000013,St. Helens,2022,548.6
E08000013,St. Helens,2023,566.5
E08000014,Sefton,2008,358.9
E08000014,Sefton,2009,361.5
E08000014,Sefton,2010,364.3
E08000014,Sefton,2011,389.7
E08000014,Sefton,2012,378.4
E08000014,Sefton,2013,389.0
E08000014,Sefton,2014,402.9
E08000014,Sefton,2015,399.1
E08000014,Sefton,2016,414.2
E08000014,Sefton,2017,439.7
E08000014,Sefton,2018,418.3
E08000014,Sefton,2019,453.2
E08000014,Sefton,2020,433.7
E08000014,Sefton,2021,455.2
E08000014,Sefton,2022,479.2
E08000014,Sefton,2023,520.4
E08000015,Wirral,2008,380.2
E08000015,Wirral,2009,390.2
E08000015,Wirral,2010,404.8
E08000015,Wirral,2011,383.5
E08000015,Wirral,2012,388.8
E08000015,Wirral,2013,394.0
E08000015,Wirral,2014,404.5
E08000015,Wirral,2015,408.6
E08000015,Wirral,2016,413.6
E08000015,Wirral,2017,417.8
E08000015,Wirral,2018,434.8
E08000015,Wirral,2019,465.3
E08000015,Wirral,2020,475.3
E08000015,Wirral,2021,469.7
E08000015,Wirral,2022,522.0
E08000015,Wirral,2023,586.5
