Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
e1baa8d3bb3138d65081f7d0f94a25bab014a41abeb531b3be9f9627bce8b803,2013-02,Merseyside Police,Merseyside Police,-3.069158,53.314304,On or near Chester High Road,E01018537,Cheshire West and Chester 001D,Drugs,Offender given a drugs possession warning,
,2013-02,Merseyside Police,Merseyside Police,-2.830329,53.334337,On or near Dungeon Lane,E01012401,Halton 008C,Anti-social behaviour,,
dfe68d5a13856af8fb08907c4c384df7959fb428f0461e3a32115d3af1306ab4,2013-02,Merseyside Police,Merseyside Police,-2.830329,53.334337,On or near Dungeon Lane,E01012401,Halton 008C,Drugs,Offender given a drugs possession warning,
a6743f134cee1c962154da8d3a58d0935000d2d5250ca4363026f06522efa02c,2013-02,Merseyside Police,Merseyside Police,-2.830329,53.334337,On or near Dungeon Lane,E01012401,Halton 008C,Drugs,Offender given a drugs possession warning,
365686824b5bc79b08f2b3ee831049cfce1c21479993338dddbdc637074186d1,2013-02,Merseyside Police,Merseyside Police,-2.830329,53.334337,On or near Dungeon Lane,E01012401,Halton 008C,Drugs,Offender given a drugs possession warning,
0f5482d056626448f2df5800dabc8d9505eae8e38075367bcc25e94061ce1058,2013-02,Merseyside Police,Merseyside Police,-2.830329,53.334337,On or near Dungeon Lane,E01012401,Halton 008C,Drugs,Offender given a drugs possession warning,
,2013-02,Merseyside Police,Merseyside Police,-2.869972,53.488240,On or near Roman Way,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-02,Merseyside Police,Merseyside Police,-2.874218,53.490968,On or near Oaklee Grove,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-02,Merseyside Police,Merseyside Police,-2.869798,53.489346,On or near Jarrett Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-02,Merseyside Police,Merseyside Police,-2.869654,53.486687,On or near Birbeck Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-02,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-02,Merseyside Police,Merseyside Police,-2.869972,53.488240,On or near Roman Way,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-02,Merseyside Police,Merseyside Police,-2.873954,53.490619,On or near Foscote Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-02,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-02,Merseyside Police,Merseyside Police,-2.871609,53.489432,On or near Watts Close,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-02,Merseyside Police,Merseyside Police,-2.872402,53.484743,On or near Quarryside Drive,E01006448,Knowsley 001A,Anti-social behaviour,,
30179bf57556033b492f8cda7a53ce2c415937d56de6fe56474671a8982aaa61,2013-02,Merseyside Police,Merseyside Police,-2.873557,53.485957,On or near Sanderling Road,E01006448,Knowsley 001A,Burglary,Investigation complete; no suspect identified,
8e071a5398558da826f46d43ec6039d76f273f7855ef2af5ac7ccdf98c1dbc96,2013-02,Merseyside Police,Merseyside Police,-2.873240,53.490310,On or near Kenbury Road,E01006448,Knowsley 001A,Burglary,Court result unavailable,
ad3f546733cb4897591a3bd24722b128537de5aff21fb338060dba37417b2d7f,2013-02,Merseyside Police,Merseyside Police,-2.870583,53.486464,On or near Clorain Close,E01006448,Knowsley 001A,Burglary,Court result unavailable,
c8c8cdb63df4387080f106d2a513f772082f50a2837186cda27b21cfc7bba655,2013-02,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Burglary,Investigation complete; no suspect identified,
0fb58c4a0ae8c35baac42b01635c46ea06a204c0c065a7335a229eaf80f3aee7,2013-02,Merseyside Police,Merseyside Police,-2.873954,53.490619,On or near Foscote Road,E01006448,Knowsley 001A,Burglary,Court result unavailable,
3490ae67f9d260a96173882d06ba49f92db363d6af002fc836605e626ae5569b,2013-02,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Burglary,Investigation complete; no suspect identified,
6055aec870191004df0fd3f9207b877b8660522276b5b66b834a4993f14d62ad,2013-02,Merseyside Police,Merseyside Police,-2.871609,53.489432,On or near Watts Close,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
aab3715d26120bb085519d685a4655a544fa2e01f12d0b0b2a343dc2fb1f33f4,2013-02,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
ae7d59bf877b70765b2d96fd4ed6363cbee96e919b3cc9866d92c04c8f73a603,2013-02,Merseyside Police,Merseyside Police,-2.869560,53.488719,On or near Changford Road,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
66dcece72dbe3dd84b050a5909daba3d76623fb87d2fe484394fe3444357f523,2013-02,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Criminal damage and arson,Status update unavailable,
3dd0b76ad361ce192ce7ff63be46ad58591838941ab451c22cd82ca3884d1480,2013-02,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
90a37b6eca112badcbd5491dce8ca7c733d2850af71c7bcf74e1c985ae9f8a3f,2013-02,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Criminal damage and arson,Status update unavailable,
a4df6779511444726b630d7a263e1b91e10036c5d11a7775bdca3dd0045a1709,2013-02,Merseyside Police,Merseyside Police,-2.873875,53.485290,On or near Harleston Road,E01006448,Knowsley 001A,Drugs,Offender given a drugs possession warning,
69b1cd022870a04d43fbbb2224f160cbde5fe3a647611459368596e29b2c984a,2013-02,Merseyside Police,Merseyside Police,-2.873875,53.485290,On or near Harleston Road,E01006448,Knowsley 001A,Drugs,Local resolution,
f5fa9d103b56f56cbb4a4931dc5bfabbd8f198c0378f3fb8016d8daf876c0ddc,2013-02,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Drugs,Offender fined,
6c7fe5d62be9126e0c19fc615b59bdb12db711d315d22d655522d1434b313a6f,2013-02,Merseyside Police,Merseyside Police,-2.870583,53.486464,On or near Clorain Close,E01006448,Knowsley 001A,Other theft,Investigation complete; no suspect identified,
ca4ffa53bf539dc04a08e203ee0e9e1098bcb11d6ae32d69382d47528c6e3598,2013-02,Merseyside Police,Merseyside Police,-2.869654,53.486687,On or near Birbeck Road,E01006448,Knowsley 001A,Vehicle crime,Status update unavailable,
7c4b7937dd306a0c9ad2cbd08458e585c70a1df5b023d2c92f0cbfca97082f77,2013-02,Merseyside Police,Merseyside Police,-2.869798,53.489346,On or near Jarrett Road,E01006448,Knowsley 001A,Vehicle crime,Investigation complete; no suspect identified,
1469e9bd20edb853a429bb3188450ffd6ad987f36cd6426a16201f24dcd2b408,2013-02,Merseyside Police,Merseyside Police,-2.869972,53.488240,On or near Roman Way,E01006448,Knowsley 001A,Violent crime,Court result unavailable,
09b1184a3ee265d7fb780bcb34e02de546a126b93c47fd724fe7dabc40a90358,2013-02,Merseyside Police,Merseyside Police,-2.869560,53.488719,On or near Changford Road,E01006448,Knowsley 001A,Violent crime,Defendant found not guilty,
a96de973bb51b7b85d4a172b072bd4434a36c3c5f30e94a03095795fa458f713,2013-02,Merseyside Police,Merseyside Police,-2.868281,53.485915,On or near Sports/Recreation Area,E01006448,Knowsley 001A,Violent crime,Investigation complete; no suspect identified,
edfb9e14013945e841b35ac2b3c087ead1fde3106884d4df43bdf9ca4f50fcc8,2013-02,Merseyside Police,Merseyside Police,-2.855148,53.485587,On or near Ashcroft Road,E01006448,Knowsley 001A,Other crime,Investigation complete; no suspect identified,
